档案号,区县,街道,姓名(脱敏),性别,年龄段,补贴标准,身份证(脱敏),手机(脱敏),银行卡(脱敏),社保卡(脱敏),家庭住址(脱敏),联系人(脱敏),申领渠道,认证状态,发放状态,最近认证,建档日期
610102-000001,新城区,胡家庙街道,宋爷爷,男,70-79 周岁,50 元/月,610119********8440,130****9394,6222 **** **** 1683,6101 **** **** 5014,新城区（详细住址已脱敏）,吴女士（配偶）,三秦宝,已认证,在发,2026-03,2022-03-09
610103-000002,碑林区,柏树林街道,张大爷,男,70-79 周岁,50 元/月,610119********5380,158****8575,6222 **** **** 4692,6101 **** **** 6975,碑林区（详细住址已脱敏）,赵女士（亲属）,陕西民政通,已认证,在发,2026-03,2018-08-05
610102-000003,新城区,中山门街道,张大妈,女,70-79 周岁,50 元/月,610119********5021,158****1110,6222 **** **** 9144,6101 **** **** 8113,新城区（详细住址已脱敏）,吴女士（子女）,西民 e 站,已认证,在发,2026-06,2023-04-18
610104-000004,莲湖区,土门街道,冯婶,女,70-79 周岁,50 元/月,610119********2607,158****9358,6222 **** **** 7384,6101 **** **** 0158,莲湖区（详细住址已脱敏）,李先生（子女）,陕西民政通,已认证,在发,2026-06,2021-07-22
610124-000005,周至县,马召镇,朱婆婆,女,70-79 周岁,50 元/月,610119********8890,138****1250,6222 **** **** 5411,6101 **** **** 0005,周至县（详细住址已脱敏）,于女士（亲属）,三秦宝,已认证,在发,2026-08,2020-08-16
610116-000006,长安区,引镇街道,刘伯,男,70-79 周岁,50 元/月,610119********5934,189****8834,6222 **** **** 0975,6101 **** **** 0998,长安区（详细住址已脱敏）,朱女士（子女）,陕西民政通,已认证,在发,2026-08,2022-02-25
610113-000007,雁塔区,电子城街道,周大爷,男,80-89 周岁,100 元/月,610119********9692,158****1125,6222 **** **** 0053,6101 **** **** 8398,雁塔区（详细住址已脱敏）,徐女士（子女）,西民 e 站,已认证,在发,2026-08,2018-01-03
610191-000008,经开区,草滩街道,刘爷爷,男,70-79 周岁,50 元/月,610119********2934,156****1731,6222 **** **** 8697,6101 **** **** 4748,经开区（详细住址已脱敏）,王女士（配偶）,线下村（居）委会,已认证,在发,2026-06,2018-09-17
610114-000009,阎良区,凤凰路街道,刘奶奶,女,70-79 周岁,50 元/月,610119********7966,136****7056,6222 **** **** 5484,6101 **** **** 2867,阎良区（详细住址已脱敏）,孙先生（配偶）,三秦宝,已认证,在发,2026-03,2018-10-04
610192-000010,西咸新区,沣东新城,周爷爷,男,70-79 周岁,50 元/月,610119********7550,137****6262,6222 **** **** 5280,6101 **** **** 0457,西咸新区（详细住址已脱敏）,何先生（子女）,陕西民政通,已认证,在发,2026-01,2022-01-26
610115-000011,临潼区,斜口街道,谢婆婆,女,70-79 周岁,50 元/月,610119********7409,151****4989,6222 **** **** 4618,6101 **** **** 1833,临潼区（详细住址已脱敏）,黄先生（亲属）,西民 e 站,已认证,在发,2026-02,2019-07-03
610192-000012,西咸新区,空港新城,林老汉,男,80-89 周岁,100 元/月,610119********5895,155****9544,6222 **** **** 6757,6101 **** **** 2564,西咸新区（详细住址已脱敏）,朱女士（配偶）,陕西民政通,已认证,在发,2026-05,2018-05-10
610112-000013,未央区,张家堡街道,郭大爷,男,80-89 周岁,100 元/月,610119********3867,131****3682,6222 **** **** 1958,6101 **** **** 1608,未央区（详细住址已脱敏）,唐女士（亲属）,陕西民政通,已认证,在发,2026-01,2019-06-12
610116-000014,长安区,滦镇街道,朱奶奶,女,70-79 周岁,50 元/月,610119********5865,186****7758,6222 **** **** 0244,6101 **** **** 6413,长安区（详细住址已脱敏）,陈先生（子女）,西民 e 站,已认证,在发,2026-06,2022-08-26
610111-000015,灞桥区,狄寨街道,董老汉,男,70-79 周岁,50 元/月,610119********0056,139****9283,6222 **** **** 4174,6101 **** **** 3506,灞桥区（详细住址已脱敏）,陈先生（子女）,陕西民政通,已认证,在发,2026-06,2021-03-23
610118-000016,鄠邑区,祖庵街道,赵爷爷,男,100 周岁及以上,360 元/月,610119********8725,155****5462,6222 **** **** 9797,6101 **** **** 8730,鄠邑区（详细住址已脱敏）,胡先生（配偶）,陕西民政通,已认证,在发,2026-04,2022-06-20
610190-000017,高新区,细柳街道,杨婶,女,70-79 周岁,50 元/月,610119********0512,131****1768,6222 **** **** 3383,6101 **** **** 8695,高新区（详细住址已脱敏）,高女士（配偶）,陕西民政通,已认证,在发,2026-04,2019-04-08
610115-000018,临潼区,秦陵街道,萧爷爷,男,80-89 周岁,100 元/月,610119********6810,156****1858,6222 **** **** 8016,6101 **** **** 5131,临潼区（详细住址已脱敏）,马先生（子女）,西民 e 站,已认证,在发,2026-01,2022-08-07
610115-000019,临潼区,新丰街道,萧大爷,男,70-79 周岁,50 元/月,610119********4537,138****9023,6222 **** **** 6693,6101 **** **** 8163,临潼区（详细住址已脱敏）,宋先生（配偶）,线下村（居）委会,已认证,在发,2026-04,2022-09-27
610116-000020,长安区,韦曲街道,张大爷,男,70-79 周岁,50 元/月,610119********0164,150****1739,6222 **** **** 1915,6101 **** **** 9197,长安区（详细住址已脱敏）,孙女士（子女）,陕西民政通,已认证,在发,2026-05,2024-09-02
610113-000021,雁塔区,小寨路街道,胡老汉,男,70-79 周岁,50 元/月,610119********1443,188****6786,6222 **** **** 4320,6101 **** **** 9456,雁塔区（详细住址已脱敏）,何女士（配偶）,陕西民政通,已认证,在发,2026-04,2021-04-17
610103-000022,碑林区,柏树林街道,徐奶奶,女,70-79 周岁,50 元/月,610119********0665,136****9446,6222 **** **** 6323,6101 **** **** 3096,碑林区（详细住址已脱敏）,胡先生（亲属）,三秦宝,已认证,在发,2026-08,2024-05-09
610112-000023,未央区,六村堡街道,董大妈,女,70-79 周岁,50 元/月,610119********4046,159****0234,6222 **** **** 2711,6101 **** **** 0547,未央区（详细住址已脱敏）,黄女士（配偶）,三秦宝,已认证,在发,2026-05,2025-08-02
610112-000024,未央区,大明宫街道,陈大妈,女,70-79 周岁,50 元/月,610119********5474,130****4997,6222 **** **** 3398,6101 **** **** 1995,未央区（详细住址已脱敏）,谢先生（配偶）,陕西民政通,已认证,在发,2026-02,2021-06-10
610113-000025,雁塔区,大雁塔街道,高大妈,女,70-79 周岁,50 元/月,610119********8391,188****9307,6222 **** **** 4074,6101 **** **** 6093,雁塔区（详细住址已脱敏）,谢女士（配偶）,西民 e 站,已认证,在发,2026-08,2025-01-25
610124-000026,周至县,楼观镇,朱婶,女,70-79 周岁,50 元/月,610119********8084,151****7264,6222 **** **** 1464,6101 **** **** 4282,周至县（详细住址已脱敏）,于先生（亲属）,西民 e 站,已认证,在发,2026-04,2022-05-12
610112-000027,未央区,六村堡街道,高老汉,男,70-79 周岁,50 元/月,610119********2364,131****2861,6222 **** **** 0997,6101 **** **** 2497,未央区（详细住址已脱敏）,梁女士（配偶）,陕西民政通,已认证,在发,2026-01,2022-03-27
610112-000028,未央区,张家堡街道,于大妈,女,70-79 周岁,50 元/月,610119********6647,138****2100,6222 **** **** 3214,6101 **** **** 4559,未央区（详细住址已脱敏）,董女士（配偶）,三秦宝,已认证,在发,2026-03,2018-09-25
610116-000029,长安区,王曲街道,孙老汉,男,70-79 周岁,50 元/月,610119********9755,186****4349,6222 **** **** 5254,6101 **** **** 9830,长安区（详细住址已脱敏）,徐女士（子女）,西民 e 站,已认证,在发,2026-06,2023-10-18
610116-000030,长安区,郭杜街道,于婆婆,女,80-89 周岁,100 元/月,610119********2764,130****9106,6222 **** **** 3823,6101 **** **** 5031,长安区（详细住址已脱敏）,朱女士（子女）,三秦宝,已认证,停发,2026-05,2021-09-23
610116-000031,长安区,子午街道,赵老汉,男,80-89 周岁,100 元/月,610119********3458,131****5491,6222 **** **** 3113,6101 **** **** 8904,长安区（详细住址已脱敏）,梁女士（子女）,陕西民政通,已认证,在发,2026-08,2020-08-07
610116-000032,长安区,韦曲街道,马大爷,男,90-99 周岁,200 元/月,610119********4772,189****4625,6222 **** **** 2674,6101 **** **** 6293,长安区（详细住址已脱敏）,杨女士（配偶）,陕西民政通,已认证,在发,2026-01,2025-09-19
610102-000033,新城区,胡家庙街道,唐奶奶,女,70-79 周岁,50 元/月,610119********8463,150****2090,6222 **** **** 5311,6101 **** **** 3967,新城区（详细住址已脱敏）,李先生（子女）,三秦宝,已认证,在发,2026-04,2024-03-27
610103-000034,碑林区,长乐坊街道,周大爷,男,80-89 周岁,100 元/月,610119********7570,151****2462,6222 **** **** 6446,6101 **** **** 2533,碑林区（详细住址已脱敏）,胡女士（配偶）,线下村（居）委会,已认证,在发,2026-02,2020-08-03
610122-000035,蓝田县,洩湖镇,刘大妈,女,80-89 周岁,100 元/月,610119********5907,135****6539,6222 **** **** 3095,6101 **** **** 5444,蓝田县（详细住址已脱敏）,谢女士（配偶）,陕西民政通,已认证,在发,2026-08,2022-05-16
610113-000036,雁塔区,电子城街道,唐大妈,女,70-79 周岁,50 元/月,610119********8097,158****1185,6222 **** **** 8117,6101 **** **** 1390,雁塔区（详细住址已脱敏）,周女士（配偶）,陕西民政通,已认证,在发,2026-06,2024-11-03
610191-000037,经开区,徐家湾街道,唐伯,男,70-79 周岁,50 元/月,610119********2692,188****2453,6222 **** **** 7930,6101 **** **** 9756,经开区（详细住址已脱敏）,刘先生（亲属）,西民 e 站,已认证,在发,2026-04,2019-05-12
610115-000038,临潼区,斜口街道,赵伯,男,70-79 周岁,50 元/月,610119********5055,158****4155,6222 **** **** 8498,6101 **** **** 6708,临潼区（详细住址已脱敏）,孙女士（配偶）,陕西民政通,已认证,在发,2026-03,2018-12-23
610102-000039,新城区,中山门街道,林婆婆,女,70-79 周岁,50 元/月,610119********2802,137****3954,6222 **** **** 6324,6101 **** **** 4141,新城区（详细住址已脱敏）,朱女士（亲属）,三秦宝,已认证,在发,2026-02,2018-06-08
610191-000040,经开区,徐家湾街道,胡爷爷,男,70-79 周岁,50 元/月,610119********4120,188****9297,6222 **** **** 0572,6101 **** **** 6263,经开区（详细住址已脱敏）,马女士（配偶）,陕西民政通,已认证,在发,2026-01,2022-06-10
610112-000041,未央区,大明宫街道,杨爷爷,男,70-79 周岁,50 元/月,610119********9505,136****2462,6222 **** **** 3095,6101 **** **** 9255,未央区（详细住址已脱敏）,萧先生（子女）,线下村（居）委会,已认证,在发,2026-05,2025-08-27
610115-000042,临潼区,斜口街道,王婶,女,70-79 周岁,50 元/月,610119********1741,188****9797,6222 **** **** 7106,6101 **** **** 5520,临潼区（详细住址已脱敏）,朱女士（子女）,陕西民政通,已认证,在发,2026-04,2020-07-27
610113-000043,雁塔区,等驾坡街道,李大妈,女,70-79 周岁,50 元/月,610119********6070,138****4194,6222 **** **** 8532,6101 **** **** 7419,雁塔区（详细住址已脱敏）,李先生（亲属）,陕西民政通,已认证,在发,2026-04,2022-12-19
610114-000044,阎良区,新华路街道,徐伯,男,70-79 周岁,50 元/月,610119********7439,155****2610,6222 **** **** 2645,6101 **** **** 5480,阎良区（详细住址已脱敏）,黄先生（子女）,西民 e 站,已认证,在发,2026-03,2018-02-03
610192-000045,西咸新区,泾河新城,王爷爷,男,90-99 周岁,200 元/月,610119********3815,135****4504,6222 **** **** 5107,6101 **** **** 6834,西咸新区（详细住址已脱敏）,杨女士（配偶）,陕西民政通,已认证,在发,2026-06,2019-09-12
610111-000046,灞桥区,灞桥街道,陈老汉,男,70-79 周岁,50 元/月,610119********4627,139****0917,6222 **** **** 2246,6101 **** **** 2145,灞桥区（详细住址已脱敏）,唐先生（亲属）,陕西民政通,已认证,在发,2026-05,2020-08-12
610115-000047,临潼区,相桥街道,萧大妈,女,70-79 周岁,50 元/月,610119********0053,130****9978,6222 **** **** 9349,6101 **** **** 3016,临潼区（详细住址已脱敏）,韩先生（亲属）,三秦宝,已认证,在发,2026-06,2022-12-21
610191-000048,经开区,六村堡街道,刘婶,女,80-89 周岁,100 元/月,610119********0045,188****6838,6222 **** **** 1969,6101 **** **** 0248,经开区（详细住址已脱敏）,徐女士（子女）,陕西民政通,已认证,在发,2026-04,2022-02-16
610113-000049,雁塔区,电子城街道,罗大爷,男,70-79 周岁,50 元/月,610119********2710,139****2642,6222 **** **** 0248,6101 **** **** 6089,雁塔区（详细住址已脱敏）,王先生（配偶）,三秦宝,已认证,在发,2026-03,2020-02-24
610191-000050,经开区,草滩街道,梁伯,男,70-79 周岁,50 元/月,610119********7396,155****0010,6222 **** **** 2806,6101 **** **** 4405,经开区（详细住址已脱敏）,萧先生（配偶）,三秦宝,已认证,在发,2026-01,2025-08-02
